//CFIN Home DCN,Dept Cost Descr,Site Descr,SCE,SCE Desc,Directorate
ST58FE,MilSatCom 3,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
L067KI,Air SubSys/Mechsm Struct Anlys,"San Diego, CA",712705,Design Engineering,Vehicle Engineering
ST72HI,Test FLM M5 - Open,"Manhattan Beach, CA",712815,Electronics Technicians,Elec & Payloads
ST44EC,Prog& Subc Sup M&P,"Manhattan Beach, CA",712810,Electronics Engineering,Spec Eng & Prog Int
Q056DK,Sys Test-Bethpage,"Bethpage, NY",712710,Systems Engineering,Sys Eng Directorate
Q057EC,MissionIntegr&Analys,"Bethpage, NY",712710,Systems Engineering,Sys Eng Directorate
ST64GF,Opto Mechanical Space E354,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
ST64GK,Mech Assy & Test E354-E,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
Q055CC,SysArchPerfAlgo-Beth,"Bethpage, NY",712710,Systems Engineering,Sys Eng Directorate
ST72HE,Mfg Eng,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
ST55CG,SysArcPrfAlgo-RBch1,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L042DJ,F-35 Proj Eng 772110,"El Segundo, CA",712725,Engineering Support,Spec Eng & Prog Int
Q067HG,AEW Struct Design E84,"Bethpage, NY",712705,Design Engineering,Vehicle Engineering
L045DD,Flight Certifications,"San Diego, CA",712725,Engineering Support,Spec Eng & Prog Int
Q067NF,Bethpage Struct Analysis E84,Remote Worker,712705,Design Engineering,Vehicle Engineering
L071GG,Mission Systems Arch 772620,"Fort Worth, TX",712830,Offsite Engineering,Elec & Payloads
Q058FK,Mil&Civil Sys-Beth,"Bethpage, NY",712710,Systems Engineering,Sys Eng Directorate
L055DH,SysReqVerif-RdBch/ES,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
ST58EF,Mission 1 Design #1,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST93DI,Measurements- SP,"Redondo Beach, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
D055CF,SysArchPerfAlgo-Melb,"Melbourne, FL",712710,Systems Engineering,Sys Eng Directorate
Q042BA,Eng/Mgrs/IPT/Staff,"Bethpage, NY",712725,Engineering Support,Spec Eng & Prog Int
Q056CE,Sys Integr-Hollywood BP,"Hollywood, MD",712820,Field Engineering,Sys Eng Directorate
ST44CD,Elect & Space Parts,"El Segundo, CA",712810,Electronics Engineering,Spec Eng & Prog Int
L065AA,"Veh Cntl, Aero & Proplsn","San Diego, CA",712705,Design Engineering,Vehicle Engineering
ST45DE,Systems Saftey SB,"Redondo Beach, CA",712725,Engineering Support,Spec Eng & Prog Int
Q057CC,ReqDefMgtVerif-CAM,"Camarillo, CA",712820,Field Engineering,Sys Eng Directorate
ST72DD,Digital Subsys Dev,"El Segundo, CA",712705,Design Engineering,Elec & Payloads
ST72EI,Mech Drive Elec,"Redondo Beach, CA",712810,Electronics Engineering,Elec & Payloads
ST73CC,Semi Matls Prod,"Manhattan Beach, CA",712815,Electronics Technicians,Elec & Payloads
L042HI,DI&V-Unman Prog RB Site,"San Diego, CA",712725,Engineering Support,Spec Eng & Prog Int
ST45CI,Staff,"Bethpage, NY",712725,Engineering Support,Spec Eng & Prog Int
L067DN,PD Spcl Pgms Strct Dsgn 772110,"Palmdale, CA",712705,Design Engineering,Vehicle Engineering
Q083BC,BAMS Ground  MCS 2,"Hollywood, MD",712715,Software Engineering,Software Directorate
L065HF,Unman'd Combat AC VMS E30,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
D065JM,MLB ECS  Fuel  Hyd & FP E84,"Melbourne, FL",712705,Design Engineering,Vehicle Engineering
Q042DL,Prog Design Sppt(Eng),"Bethpage, NY",712725,Engineering Support,Spec Eng & Prog Int
L054DA,Mod & Sim,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
L044DH,Adv Mtls & Proc Dev,"El Segundo, CA",712725,Engineering Support,Spec Eng & Prog Int
Q056CJ,Sys Integr-Bethpage BP,"Unknown City, CT",712710,Systems Engineering,Sys Eng Directorate
ST56DA,System Ops & Test,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L067DE,ElSeg F-35 Struct Dsgn 772620,"Fort Worth, TX",712830,Offsite Engineering,Vehicle Engineering
Q071LA,Sensors & Imaging BP,"Bethpage, NY",712705,Design Engineering,Elec & Payloads
L064CK,"ES Config Des,Crew,Zone E30","El Segundo, CA",712705,Design Engineering,Vehicle Engineering
ST72BC,Project Leads,"Redondo Beach, CA",712810,Electronics Engineering,Elec & Payloads
L043DC,Eng Prop Palmdale 772210,"Edwards AFB, CA",712725,Engineering Support,Spec Eng & Prog Int
L059CD,Experimental EM,"Palmdale, CA",712710,Systems Engineering,Sys Eng Directorate
ST82BE,National Systems 2,"El Segundo, CA",712715,Software Engineering,Software Directorate
L057CE,ReqDevMgtVerif-SD,"San Diego, CA",712710,Systems Engineering,Sys Eng Directorate
L064FK,Rancho CHE & EPS Air,"San Diego, CA",712705,Design Engineering,Vehicle Engineering
ST72EB,Sr. Staff Section,"Redondo Beach, CA",712810,Electronics Engineering,Elec & Payloads
Q056CA,System Integration,"Bethpage, NY",712710,Systems Engineering,Sys Eng Directorate
Q083BD,BAMS Grnd Train/pyld BP,"Camarillo, CA",712820,Field Engineering,Software Directorate
ST71LB,Sensor Engineering,"Redondo Beach, CA",712705,Design Engineering,Elec & Payloads
ST58FG,MilSatCom 4 (BP03),"Falcon AFB, CO",712820,Field Engineering,Sys Eng Directorate
ST56DL,Sys Test-Red Bch #1,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L091AC,Test Programs Mgmt 772210,"San Diego, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L065LF,RB Flight Analysis E30,"San Diego, CA",712705,Design Engineering,Vehicle Engineering
ST72GD,Automated Assem Line,"Manhattan Beach, CA",712815,Electronics Technicians,Elec & Payloads
L044CF,Specs & Stds West Ops,"El Segundo, CA",712725,Engineering Support,Spec Eng & Prog Int
Q042DO,BM&ES Proj Eng,"Bethpage, NY",712725,Engineering Support,Spec Eng & Prog Int
ST44EI,Contamination Control,"Redondo Beach, CA",712725,Engineering Support,Spec Eng & Prog Int
L094HJ,Grnd Ops F-35 & Misc  772210,"Palmdale, CA",712730,Engineering Technicians,"Sys Integ, Test & Eval"
ST54CG,Civ&Mil Systems ME,Remote Worker,712710,Systems Engineering,Sys Eng Directorate
D081CE,Emerg ISR Pdct Supt,"Melbourne, FL",712715,Software Engineering,Software Directorate
L056CO,Sys Integr-Rancho/Pd,"San Diego, CA",712710,Systems Engineering,Sys Eng Directorate
Q055AG,SysDef&Verif(e84Eng),"Bethpage, NY",712710,Systems Engineering,Sys Eng Directorate
ST65FB,Space Systems GN&C E354,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
D055DJ,SysReqVerf-MelbWRe84,"Melbourne, FL",712710,Systems Engineering,Sys Eng Directorate
L042DK,F-18 Proj Eng 772110,"El Segundo, CA",712725,Engineering Support,Spec Eng & Prog Int
L065FA,GNC ACS Staff/IPT Leads E30,"San Diego, CA",712705,Design Engineering,Vehicle Engineering
L071HF,LRS Avionics Sys Tst,"Tinker AFB, OK",712830,Offsite Engineering,Elec & Payloads
L065HB,Flight Control Tech,"Palmdale, CA",712705,Design Engineering,Vehicle Engineering
ST67KG,Sp Struct Analys Sct 1 E354,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
L059CE,Survivability Mat'ls,"San Diego, CA",712710,Systems Engineering,Sys Eng Directorate
Q056BA,Staff/IPT leads,"Bethpage, NY",712710,Systems Engineering,Sys Eng Directorate
Q064HG,Thrmal & Dynamics Air E84,"Bethpage, NY",712705,Design Engineering,Vehicle Engineering
L082CC,F-35 Miss & PHM SW,"El Segundo, CA",712715,Software Engineering,Software Directorate
Q054DA,Mod & Sim,"Bethpage, NY",712710,Systems Engineering,Sys Eng Directorate
ST71MH,Prod & Tech Spt - Field BP03,"Edwards AFB, CA",712820,Field Engineering,Elec & Payloads
D014CB,BMES CE #2,"Melbourne, FL",712725,Engineering Support,AE Leadership
L091AC,Test Programs Mgmt 772210,"El Segundo, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
Q081DA,AEW & IO/EA Software DO,"Bethpage, NY",712715,Software Engineering,Software Directorate
L042DC,Staff/ IPT Leads 772110,"El Segundo, CA",712725,Engineering Support,Spec Eng & Prog Int
ST71MA,Laser & Optics,"Redondo Beach, CA",712705,Design Engineering,Elec & Payloads
ST82BC,Civil,"Redondo Beach, CA",712715,Software Engineering,Software Directorate
ST64FI,Cable & Harness Sp,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
D042DD,Eng Tech Estimating,"Melbourne, FL",712725,Engineering Support,Spec Eng & Prog Int
L055CE,SysArchPerfAlgo-SD2 772610,"San Diego, CA",712710,Systems Engineering,Sys Eng Directorate
L094HF,Grnd Ops UCAS  772210,"Patuxent River, MD",712830,Offsite Engineering,"Sys Integ, Test & Eval"
ST92EC,SSD Ops Ldshp S11 (SP),"Redondo Beach, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST72EA,Mix Signal & Pwr Prd,"Redondo Beach, CA",712810,Electronics Engineering,Elec & Payloads
L093HD,Mechanical Test Design- ES,"Redondo Beach, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
Q042DH,BM&ES Proj Eng,"Bethpage, NY",712725,Engineering Support,Spec Eng & Prog Int
R042BA,Eng/Mgrs/IPT/Staff,"Saint Augustine, FL",712725,Engineering Support,Spec Eng & Prog Int
K051AC,Aero Eng VP T1,"Bethpage, NY",NSCE,Indirect G&A ,AE Leadership
D057DF,Integr&MassProp-Beth,"Melbourne, FL",712710,Systems Engineering,Sys Eng Directorate
ST68AA,Space Vehicle & Atenna Mfg,"Redondo Beach, CA",712730,Engineering Technicians,Vehicle Engineering
L042EH,ATDC CDM 772110,"Palmdale, CA",712725,Engineering Support,Spec Eng & Prog Int
D064FB,Melbourne CHE & EPS-Air,"Melbourne, FL",712705,Design Engineering,Vehicle Engineering
ST82BA,Space Flight SW,"Redondo Beach, CA",712715,Software Engineering,Software Directorate
ST55CJ,SysArcPrfAlgoRBESPd,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L042HK,LRS Eng Plan 772130,"Palmdale, CA",712725,Engineering Support,Spec Eng & Prog Int
ST43EC,RF & Offsite BP97,"Redondo Beach, CA",NSCE,Equipment Maintenance Ctr,Spec Eng & Prog Int
Q055AE,Sys Def & Verif ENGR,"Bethpage, NY",712710,Systems Engineering,Sys Eng Directorate
D065LH,BM&ES Flt Anlys & GN&C E84-MO,"Melbourne, FL",712705,Design Engineering,Vehicle Engineering
Q042FF,BAMS BM&ES CDM (OS),"Bethpage, NY",712725,Engineering Support,Spec Eng & Prog Int
L056CD,Sys Integr-Rancho,"San Diego, CA",712710,Systems Engineering,Sys Eng Directorate
L082CD,F-35 Comms SW,"El Segundo, CA",712715,Software Engineering,Software Directorate
ST56CN,Sys Integr Natl Sys2,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST71MD,Laser & Optical Dev,"Redondo Beach, CA",712705,Design Engineering,Elec & Payloads
ST56CQ,LnchSysIntegr SE&Ops,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L054CL,Ops Analysis-Palm,"Palmdale, CA",712710,Systems Engineering,Sys Eng Directorate
L071EA,"Radar, SIGINT & EW-30","Palmdale, CA",712705,Design Engineering,Elec & Payloads
Q046AE,BM&ES Prog Affordab,"Bethpage, NY",712725,Engineering Support,Spec Eng & Prog Int
ST71NA,Ground Products Dev,"Manhattan Beach, CA",712705,Design Engineering,Elec & Payloads
Q067NA,SAUI Staff/IPT Leads BP,"Bethpage, NY",712705,Design Engineering,Vehicle Engineering
Q081AA,ISR & EW SW COE,"Bethpage, NY",712715,Software Engineering,Software Directorate
ST72HG,Assy FLM,"Manhattan Beach, CA",712815,Electronics Technicians,Elec & Payloads
Q065LG,BM&ES Flt Anlys & GN&C E84-BO,"Unknown City, CT",712705,Design Engineering,Vehicle Engineering
L065JL,"PD ECS, Fuel, Hyd & FP E30","Palmdale, CA",712705,Design Engineering,Vehicle Engineering
ST92DD,SSD Test Eng S2 (SP),"Manhattan Beach, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
K054AA,Spec Eng & Prog Int T1,"Redondo Beach, CA",NSCE,Indirect G&A ,Spec Eng & Prog Int
L067NE,Maritime Sysm Struct Analys,"San Diego, CA",712705,Design Engineering,Vehicle Engineering
K058AA,Software Directorate T1,"Melbourne, FL",NSCE,Indirect G&A ,Software Directorate
L055CA,SysArchPerf & Algors,"San Diego, CA",712710,Systems Engineering,Sys Eng Directorate
L092EG,SSSD Ops Leadership S15,"San Diego, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST68CF,Process Planning,"Redondo Beach, CA",712730,Engineering Technicians,Vehicle Engineering
Q056CF,Sys Integr-Hollywood OS,"Panama City, FL",712820,Field Engineering,Sys Eng Directorate
L057DG,SysArch & Interfaces,"San Diego, CA",712710,Systems Engineering,Sys Eng Directorate
Q094FN,Adv Hawkeye Flt Test  OS,"California, MD",712820,Field Engineering,"Sys Integ, Test & Eval"
ST42GF,CDM Restr Sp Prog,"Redondo Beach, CA",712725,Engineering Support,Spec Eng & Prog Int
ST93DH,Dynamics Test- SP,"Redondo Beach, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
D091AA,Test Programs Mgmt,"Melbourne, FL",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
Q071CA,Comm & Links-84,"Bethpage, NY",712705,Design Engineering,Elec & Payloads
L045DI,Syst Saftey Palmdale,"Palmdale, CA",712725,Engineering Support,Spec Eng & Prog Int
D042DH,BM&ES Proj Eng,"Melbourne, FL",712725,Engineering Support,Spec Eng & Prog Int
ST54CA,ME & Ops Analysis,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
ST64HH,Dynamics Space B,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
Q071HH,Avionics Ctrl Sys-BP,"Buffalo, NY",712705,Design Engineering,Elec & Payloads
L067DH,ES Spcl Pgms Struct Dsgn E30,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
L042HF,LRS Eng Plan 772110,"Palmdale, CA",712725,Engineering Support,Spec Eng & Prog Int
L042EF,B-2 CDM (Palmdale) 772110,"Palmdale, CA",712725,Engineering Support,Spec Eng & Prog Int
Q045DC,Human Syst  Integ,"Bethpage, NY",712725,Engineering Support,Spec Eng & Prog Int
L094FC,Flt Ops GH,"Palmdale, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L059DD,Supportability,"Palmdale, CA",712710,Systems Engineering,Sys Eng Directorate
L094CE,Flt Test Eng - GH  772640,"Palmdale, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST73BE,Layout,"Manhattan Beach, CA",712815,Electronics Technicians,Elec & Payloads
K051AC,Aero Eng VP T1,"Redondo Beach, CA",NSCE,Indirect G&A ,AE Leadership
L071LF,Sensors & Imaging PD,"Palmdale, CA",712705,Design Engineering,Elec & Payloads
ST92EC,SSD Ops Ldshp S11 (SP),"Manhattan Beach, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
D054DK,Mod & Sim-Melb,"Melbourne, FL",712710,Systems Engineering,Sys Eng Directorate
L065FF,Unman'd Combat AirCrt GN&C,"San Diego, CA",712705,Design Engineering,Vehicle Engineering
ST82BD,National Systems 1,"Redondo Beach, CA",712715,Software Engineering,Software Directorate
ST65FA,GNC ACS Staff/IPT Leads E354,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
ST83CF,Module Test Sets,"Manhattan Beach, CA",712715,Software Engineering,Software Directorate
L066AA,Vehicle Structures 772110,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
L094HH,Grnd Ops ATDC - AV-PMV,"Palmdale, CA",712730,Engineering Technicians,"Sys Integ, Test & Eval"
ST45CE,Space & Air Syst Sec,"Redondo Beach, CA",712725,Engineering Support,Spec Eng & Prog Int
ST72AA,Electronic Products,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
L067DM,El Segundo Prod Support E30,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
L064CS,Rancho Eqmt & lines,"San Diego, CA",712705,Design Engineering,Vehicle Engineering
ST65FE,S/C Arch & HW Acq,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
ST73DD,Plasma & Vacuum Proc,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
D050AE,Sys Eng Directorate (e84) MB,"Melbourne, FL",712710,Systems Engineering,Sys Eng Directorate
ST93HB,MGSE- SP,"Redondo Beach, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
Q071LG,Sensors & Imaging BP,"Bethpage, NY",712705,Design Engineering,Elec & Payloads
L042DF,Palmdale Proj Eng 772110,"Palmdale, CA",712725,Engineering Support,Spec Eng & Prog Int
Q013CC,SSSD CE #2,"Bethpage, NY",712725,Engineering Support,AE Leadership
ST45CG,Space Syst Rad & Labs,"Redondo Beach, CA",712725,Engineering Support,Spec Eng & Prog Int
ST58AA,Comm & Data Systems,"Manhattan Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST64GC,Mechanisms Space (Restricted),"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
SICW33,NGAII - Afghanistan Office,"San Diego, CA",Int'l,Int'l,Spec Eng & Prog Int
Q081DN,AEW & IO/EA Software PRB,"Camarillo, CA",PRB,PRB,Software Directorate
ST83CC,Mission Test Sets,"Manhattan Beach, CA",712715,Software Engineering,Software Directorate
L071OI,Ground Sys Engr,"San Diego, CA",712705,Design Engineering,Elec & Payloads
L067KD,F-35 Sub-Structs Struct Analys,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
D080AA,Software Directorate MB,"Melbourne, FL",712715,Software Engineering,Software Directorate
L057CI,ReqDevMgVerif-Tink 772610,"Tinker AFB, OK",712830,Offsite Engineering,Sys Eng Directorate
D055DK,SysReqVerf-MlbWRe282,"Warner Robins, GA",WR,WR,Sys Eng Directorate
ST58ED,Mission 1 Programs#2,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST55DG,Sys Req Verif-RedBch,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
ST71MI,Optical Eng -Field BP03,"Las Cruces, NM",712820,Field Engineering,Elec & Payloads
L071HA,Subsys Ctrl&Prcs-30 772110,"El Segundo, CA",712705,Design Engineering,Elec & Payloads
ST72EG,Sen Laser&Cryo Elec,"Redondo Beach, CA",712810,Electronics Engineering,Elec & Payloads
ST72DC,Digital Arch&Subsys,"El Segundo, CA",712705,Design Engineering,Elec & Payloads
ST64HD,Dynamics Space A E354,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
L059DC,Tech Devel Integr,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
R056CH,Sys Integr-Melbourne,"Saint Augustine, FL",712710,Systems Engineering,Sys Eng Directorate
D070AA,Elec & Payloads MB,"Melbourne, FL",712705,Design Engineering,Elec & Payloads
ST82BB,MILSATCOMM,"Manhattan Beach, CA",712715,Software Engineering,Software Directorate
L022AA,Process Mgmt,"El Segundo, CA",712725,Engineering Support,Aerospace Eng Tech Ops
L059DA,Survivab'yTechIntegr,"San Diego, CA",712710,Systems Engineering,Sys Eng Directorate
L067DF,F-35 Sub- Strctre Strct'l Dsn,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
D042FJ,AP&T DM/DRC/SW CM,"Melbourne, FL",712725,Engineering Support,Spec Eng & Prog Int
D071HG,Avionics Ctrl Sys-MB,"Melbourne, FL",712705,Design Engineering,Elec & Payloads
D056CA,System Integration,"Melbourne, FL",712710,Systems Engineering,Sys Eng Directorate
L064GE,PD & ES Mech Sys Air 772620,"Fort Worth, TX",712830,Offsite Engineering,Vehicle Engineering
L093DC,Lab Ops - RB,"San Diego, CA",712730,Engineering Technicians,"Sys Integ, Test & Eval"
L093HB,Grnd Spt & Ops Tst Eqmt 772210,"Palmdale, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L045CE,Space & Air Syst Sec,"El Segundo, CA",712725,Engineering Support,Spec Eng & Prog Int
K055AA,Sys Eng Directorate (e27) T1,"Redondo Beach, CA",NSCE,Indirect G&A ,Sys Eng Directorate
L054DG,Mod & Sim-So Bay,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
L054DE,Mod & Sim-EVR,"El Segundo, CA",712710,Systems Engineering,Sys Eng Directorate
K056AA,Vehicle Eng & Prod T1,"Redondo Beach, CA",NSCE,Indirect G&A ,Vehicle Engineering
L094HL,Ground Ops 772640,"Edwards AFB, CA",712830,Offsite Engineering,"Sys Integ, Test & Eval"
L066AA,Vehicle Structures 772110,"Palmdale, CA",712705,Design Engineering,Vehicle Engineering
L042HE,SB(F/A-18/35/AP&T) Pln 772130,"Redondo Beach, CA",712725,Engineering Support,Spec Eng & Prog Int
Q063AA,Integ Veh Sys & Electromech,"Bethpage, NY",712705,Design Engineering,Vehicle Engineering
D055CB,Staff/ IPT Lead,"Melbourne, FL",712710,Systems Engineering,Sys Eng Directorate
L094CE,Flt Test Eng - GH  772640,"Hollywood, MD",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L071LE,Sensors & Imaging RB,"El Segundo, CA",712705,Design Engineering,Elec & Payloads
ST71NG,RF Test Products,"Manhattan Beach, CA",712705,Design Engineering,Elec & Payloads
L065AA,"Veh Cntl, Aero & Proplsn","Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
L082CE,B2 SW Requirements 772110,"Tinker AFB, OK",712830,Offsite Engineering,Software Directorate
Q083BD,BAMS Grnd Train/pyld BP,"Goleta, CA",712820,Field Engineering,Software Directorate
L093DK,Inst Lab & Tech Support- ES,"Palmdale, CA",712730,Engineering Technicians,"Sys Integ, Test & Eval"
D016CA,AP&T CE,"Melbourne, FL",712725,Engineering Support,AE Leadership
Q045DB,Staff,"Bethpage, NY",712725,Engineering Support,Spec Eng & Prog Int
L013CD,SSSD CE #2 772130,"Palmdale, CA",712725,Engineering Support,AE Leadership
D081CF,Dev ISR & BMC2 Conc,"Melbourne, FL",712715,Software Engineering,Software Directorate
R014CB,BMES CE #2,"Saint Augustine, FL",712725,Engineering Support,AE Leadership
K052AC,Staff T1,"San Diego, CA",NSCE,Indirect G&A ,Aerospace Eng Tech Ops
ST72DA,Digital Products,"El Segundo, CA",712705,Design Engineering,Elec & Payloads
ST72DE,Modeling & Verif,"Manhattan Beach, CA",712705,Design Engineering,Elec & Payloads
ST65JF,Proplsn & Combust Prod,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
R042FB,AEW & BMC2 (SAMC) CDM,"Saint Augustine, FL",712725,Engineering Support,Spec Eng & Prog Int
L067DG,F-35 Skins&Panels Strct'l Dsn,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
Q057EC,MissionIntegr&Analys,"Unknown City, CT",712710,Systems Engineering,Sys Eng Directorate
L071GF,Mission Systems Arch 772110,"El Segundo, CA",712705,Design Engineering,Elec & Payloads
D057CM,ReqDevMgtVerif-FL MB,"Melbourne, FL",712710,Systems Engineering,Sys Eng Directorate
L094CG,Flt Test Eng- ATDC  772210,"Unknown City, NV",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
Q054AA,Analysis  Mod & Sim (e84BP),"Bethpage, NY",712710,Systems Engineering,Sys Eng Directorate
L094CF,Flt Test Eng - UCAS  772210,"Patuxent River, MD",712830,Offsite Engineering,"Sys Integ, Test & Eval"
L071CE,Comm & Links - RB1,"San Diego, CA",712705,Design Engineering,Elec & Payloads
ST71OA,Grnd Prod Eng&Integ,"Manhattan Beach, CA",712705,Design Engineering,Elec & Payloads
K058AD,SW Staff T2,"Palmdale, CA",NSCE,Engineering Indirect,Software Directorate
L071GE,Mission Plan & Mgmt,"El Segundo, CA",712705,Design Engineering,Elec & Payloads
ST73DF,Dice/Sort/Visual,"Manhattan Beach, CA",712815,Electronics Technicians,Elec & Payloads
ST71NC,S/C Bus Test Prod,"Redondo Beach, CA",712705,Design Engineering,Elec & Payloads
L093DB,Materials & Processes - ES,"El Segundo, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
ST58EA,National Sys Dept,"Redondo Beach, CA",712710,Systems Engineering,Sys Eng Directorate
L045DE,Systems Saftey SB,"El Segundo, CA",712725,Engineering Support,Spec Eng & Prog Int
K055AC,Staff/IPT Leads T1,"Bethpage, NY",NSCE,Indirect G&A ,Sys Eng Directorate
L055AB,Sys Def & Verif 772110,"San Diego, CA",712710,Systems Engineering,Sys Eng Directorate
L065JK,"LA ECS, Fuel, HYD & FP E30","El Segundo, CA",712705,Design Engineering,Vehicle Engineering
L094CJ,Flt Test Eng  F-35/ FS,"California, MD",712830,Offsite Engineering,"Sys Integ, Test & Eval"
L094CD,Flt Test Eng - GH,"Edwards AFB, CA",712830,Offsite Engineering,"Sys Integ, Test & Eval"
ST64GB,Deployables Space E354,"Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
L082DC,Advanced Programs 2,"San Diego, CA",712830,Offsite Engineering,Software Directorate
R067HA,SDU I Staff/IPT Leads E75,"Saint Augustine, FL",712705,Design Engineering,Vehicle Engineering
L065FH,Special Projs Flt Cntrl E30,"Palmdale, CA",712705,Design Engineering,Vehicle Engineering
L082CI,B2 HI & Control SW 772110,"Tinker AFB, OK",712830,Offsite Engineering,Software Directorate
D071GA,Mission Mgmt-84,"Melbourne, FL",712705,Design Engineering,Elec & Payloads
ST72BA,Antenna Products,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
L065JA,PF Staff/IPT Leads E30 772110,"Palmdale, CA",712705,Design Engineering,Vehicle Engineering
L092DL,SSSD Test Eng S10 (AV),"Palmdale, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
L093DE,Lab Ops - ES 772210,"El Segundo, CA",712720,"Integration,Test and Evaluation","Sys Integ, Test & Eval"
Q066AA,Vehicle Structures,"Bethpage, NY",712705,Design Engineering,Vehicle Engineering
L064HE,Thrmal & Dynamics Air E30,"El Segundo, CA",712705,Design Engineering,Vehicle Engineering
Q057CC,ReqDefMgtVerif-CAM,"Goleta, CA",712820,Field Engineering,Sys Eng Directorate
D057CM,ReqDevMgtVerif-FL MB,"Unknown City, CT",712710,Systems Engineering,Sys Eng Directorate
L094CC,Flt Test Eng - B-2 / F-35,"Edwards AFB, CA",712830,Offsite Engineering,"Sys Integ, Test & Eval"
Q064FC,Bethpage CHE & EPS Air,"Edwards AFB, CA",712705,Design Engineering,Vehicle Engineering
ST43EB,DC/Low Freq&Proj Eng BP97,"Redondo Beach, CA",NSCE,Equipment Maintenance Ctr,Spec Eng & Prog Int
ST67DJ,"Sp Struct Dsgn, Sct 1 E354-E","Redondo Beach, CA",712705,Design Engineering,Vehicle Engineering
ST72HB,Program Execution,"Manhattan Beach, CA",712810,Electronics Engineering,Elec & Payloads
ST44CC,Tech Doc & Ops,"Redondo Beach, CA",712810,Electronics Engineering,Spec Eng & Prog Int
L045BA,Staff/ IPT Lead 772110,"El Segundo, CA",712725,Engineering Support,Spec Eng & Prog Int
L054DG,Mod & Sim-So Bay,"Whiteman AFB, MO",712710,Systems Engineering,Sys Eng Directorate
L059EC,Surviv Prog IPTs,"Palmdale, CA",712710,Systems Engineering,Sys Eng Directorate
Q070AA,Elec & Payloads,"Bethpage, NY",712705,Design Engineering,Elec & Payloads
